surah_id,surah_name,total_ayahs,new_aligned,old_aligned,aligned_diff,new_rate,old_rate,rate_diff,new_avg_sim,old_avg_sim,sim_diff
79,النازعات,46,46,46,0,100.0,100.0,0.0,0.967,0.962,0.005
80,عبس,42,42,42,0,100.0,100.0,0.0,0.982,0.982,0.0
81,التكوير,29,29,29,0,100.0,100.0,0.0,0.993,0.993,0.0
82,الانفطار,19,19,19,0,100.0,100.0,0.0,0.984,0.97,0.014
83,المطففين,36,36,36,0,100.0,100.0,0.0,0.984,0.984,0.0
84,الانشقاق,25,25,25,0,100.0,100.0,0.0,0.984,0.984,0.0
85,البروج,22,22,22,0,100.0,100.0,0.0,0.99,0.99,0.0
86,الطارق,17,17,17,0,100.0,100.0,0.0,0.988,0.988,0.0
87,الأعلى,19,19,19,0,100.0,100.0,0.0,0.992,0.992,0.0
88,الغاشية,26,26,26,0,100.0,100.0,0.0,0.992,0.992,0.0
89,الفجر,30,30,30,0,100.0,100.0,0.0,0.986,0.984,0.002
90,البلد,20,20,20,0,100.0,100.0,0.0,0.986,0.986,0.0
91,الشمس,15,15,15,0,100.0,100.0,0.0,0.943,0.943,0.0
92,الليل,21,21,21,0,100.0,100.0,0.0,0.99,0.99,0.0
93,الضحى,11,11,11,0,100.0,100.0,0.0,0.994,0.994,0.0
94,الشرح,8,8,8,0,100.0,100.0,0.0,1.0,1.0,0.0
95,التين,8,8,8,0,100.0,100.0,0.0,0.985,0.985,0.0
96,العلق,19,19,19,0,100.0,100.0,0.0,0.978,0.978,0.0
97,القدر,5,5,5,0,100.0,100.0,0.0,0.98,0.98,0.0
98,البينة,8,8,8,0,100.0,100.0,0.0,0.954,0.954,0.0
99,الزلزلة,8,8,8,0,100.0,100.0,0.0,0.99,0.99,0.0
100,العاديات,11,11,11,0,100.0,100.0,0.0,0.971,0.971,0.0
101,القارعة,11,11,11,0,100.0,100.0,0.0,0.976,0.976,0.0
102,التكاثر,8,8,8,0,100.0,100.0,0.0,0.976,0.976,0.0
103,العصر,3,3,3,0,100.0,100.0,0.0,0.982,0.982,0.0
104,الهمزة,9,9,9,0,100.0,100.0,0.0,0.977,0.977,0.0
105,الفيل,5,5,5,0,100.0,100.0,0.0,0.997,0.997,0.0
106,قريش,4,4,4,0,100.0,100.0,0.0,0.97,0.97,0.0
107,الماعون,7,7,5,2,100.0,71.43,28.57,0.994,0.776,0.218
108,الكوثر,3,3,3,0,100.0,100.0,0.0,0.99,0.99,0.0
109,الكافرون,6,6,6,0,100.0,100.0,0.0,0.978,0.978,0.0
110,النصر,3,3,3,0,100.0,100.0,0.0,0.995,0.915,0.08
111,المسد,5,5,5,0,100.0,100.0,0.0,0.991,0.991,0.0
112,الإخلاص,4,4,4,0,100.0,100.0,0.0,0.994,0.994,0.0
113,الفلق,5,5,5,0,100.0,100.0,0.0,0.991,0.991,0.0
114,الناس,6,6,6,0,100.0,100.0,0.0,1.0,1.0,0.0
